"game_id","Date","home_team_id","away_team_id","home_score","away_score"
"e7MzXdnjqr",2021-05-17,"EKXMeX3Q64","jYQJ8EW5GR",0,1
"p6qbrwEpq0",2021-05-16,"19vQ2095K6","mvzqoLZQap",1,0
"e7MzXOaKqr",2021-05-16,"NWMWlBK5lz","zeQZkL1MKw",2,3
"N6MmX9vgQE",2021-05-16,"Z2vQ1xlqrA","lgpMOvnQzy",3,0
"kRQa1JvYQK",2021-05-16,"0KPqjA456v","WBLMvYAQxe",0,2
"4wM4wd6AQj",2021-05-16,"a2lqR4JMr0","vzqoOgNqap",0,0
"xW5pXPvK5g",2021-05-16,"pzeQZ6xQKw","YgOMngl5wN",3,1
"KPqjAnv856",2021-05-16,"kRQand1MKZ","mKAqBBmqbg",1,0
"4JMAVBDY5K",2021-05-15,"9z5k7Yg5A3","a2lqRX2Mr0",1,0
"BLMvXYgXqx",2021-05-15,"KAqBN0Vqbg","APk5LGOMOW",1,0
"XVqK8k0BQ0",2021-05-15,"kaDQ0wRqEv","gpMOLwl5zy",2,0
"zeQZV2vgQK",2021-05-15,"Vj58weDM8n","kRQabn8MKZ",1,1
"aDQ0r1B25E",2021-05-14,"EKXMeX3Q64","X0Oq66zq6D",1,0
"KXMeYWv2M6",2021-05-13,"0KPqjA456v","jYQJ19EqGR",0,1
"odMX9evA5Y",2021-05-13,"kRQand1MKZ","lgpMOvnQzy",1,0
"Vj58gxR2M8",2021-05-13,"YgOMngl5wN","Z2vQ1xlqrA",1,0
"9Yqd8BvRqv",2021-05-12,"9z5k7Yg5A3","19vQ2095K6",1,1
"NPqxXl68q9",2021-05-12,"zeQZkL1MKw","APk5LGOMOW",0,2
"9vQ28lg75K",2021-05-12,"kRQabn8MKZ","mvzqoLZQap",2,0
"OlMlaRvP5L",2021-05-09,"Z2vQ1xlqrA","gpMOLwl5zy",2,1
"a35rXNweQL",2021-05-09,"WBLMvYAQxe","jYQJ19EqGR",1,2
"2vQ1lrWxqr",2021-05-09,"zeQZkL1MKw","KAqBN0Vqbg",1,1
"EGMPWyzkQa",2021-05-09,"pzeQZ6xQKw","kRQand1MKZ",3,2
"9z5kKova5A",2021-05-09,"kaDQ0wRqEv","eVq3ya6MWO",2,1
