"player_id","team_id","general_position","minutes_played","action_type","goals_added_raw","goals_added_above_avg","count_actions","Date"
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Sweeping",0.0062,0.0052,2,2013-03-10
"9z5kjAjMA3","mKAqBBmqbg","GK",98,"Claiming",0.003,0.0052,2,2013-03-10
"9z5kjAjMA3","mKAqBBmqbg","GK",98,"Fielding",0.0156,0.0221,10,2013-03-10
"9z5kjAjMA3","mKAqBBmqbg","GK",98,"Handling",0.0178,0.0205,2,2013-03-10
"9z5kjAjMA3","mKAqBBmqbg","GK",98,"Passing",0.0482,-0.0168,29,2013-03-10
"9z5kjAjMA3","mKAqBBmqbg","GK",98,"Shotstopping",-0.5638,-0.5486,5,2013-03-10
"9z5kjAjMA3","mKAqBBmqbg","GK",98,"Sweeping",0.0478,0.0477,4,2013-03-10
"aDQ0023QEv","pzeQZ6xQKw","GK",98,"Claiming",-0.145,-0.1459,2,2013-03-10
"aDQ0023QEv","pzeQZ6xQKw","GK",98,"Fielding",-4e-04,0.0059,2,2013-03-10
"aDQ0023QEv","pzeQZ6xQKw","GK",98,"Handling",-0.0096,-0.0075,1,2013-03-10
"aDQ0023QEv","pzeQZ6xQKw","GK",98,"Passing",0.0161,-0.0496,22,2013-03-10
"aDQ0023QEv","pzeQZ6xQKw","GK",98,"Shotstopping",-1.3256,-1.3262,3,2013-03-10
"aDQ0023QEv","pzeQZ6xQKw","GK",98,"Sweeping",-0.0092,-0.0105,2,2013-03-10
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Claiming",0.047,0.0501,6,2013-03-10
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Fielding",0.0045,0.0108,12,2013-03-10
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Handling",0.0754,0.0792,6,2013-03-10
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Passing",0.0781,0.0137,34,2013-03-10
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Shotstopping",-0.1905,-0.1675,7,2013-03-10
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Sweeping",0.0215,0.0209,5,2013-03-10
"gpMOV4DQzy","APk5LGOMOW","GK",97,"Claiming",0.0095,0.0117,5,2013-03-10
"gpMOV4DQzy","APk5LGOMOW","GK",97,"Fielding",0.0015,0.0077,13,2013-03-10
"gpMOV4DQzy","APk5LGOMOW","GK",97,"Handling",-0.022,-0.0199,5,2013-03-10
"gpMOV4DQzy","APk5LGOMOW","GK",97,"Passing",0.0826,0.0181,46,2013-03-10
"gpMOV4DQzy","APk5LGOMOW","GK",97,"Shotstopping",0.515,0.5471,6,2013-03-10
"gpMOV4DQzy","APk5LGOMOW","GK",97,"Sweeping",0.0268,0.0261,4,2013-03-10
"jYQJZzEQGR","lgpMOvnQzy","GK",99,"Claiming",0.0035,0.0058,3,2013-03-10
"jYQJZzEQGR","lgpMOvnQzy","GK",99,"Fielding",-0.0043,0.0019,7,2013-03-10
"jYQJZzEQGR","lgpMOvnQzy","GK",99,"Handling",0.0361,0.0395,4,2013-03-10
"jYQJZzEQGR","lgpMOvnQzy","GK",99,"Passing",0.0823,0.0182,31,2013-03-10
"jYQJZzEQGR","lgpMOvnQzy","GK",99,"Shotstopping",0.1967,0.2302,5,2013-03-10
"jYQJZzEQGR","lgpMOvnQzy","GK",99,"Sweeping",0,-0.0011,1,2013-03-10
"KAqBw4mQbg","mvzqoLZQap","GK",99,"Claiming",0,0.0021,0,2013-03-10
"KAqBw4mQbg","mvzqoLZQap","GK",99,"Fielding",0.0101,0.0167,13,2013-03-10
"KAqBw4mQbg","mvzqoLZQap","GK",99,"Handling",-0.0229,-0.0213,1,2013-03-10
"KAqBw4mQbg","mvzqoLZQap","GK",99,"Passing",0.0729,0.0085,23,2013-03-10
"KAqBw4mQbg","mvzqoLZQap","GK",99,"Shotstopping",-0.4895,-0.4775,3,2013-03-10
"KAqBw4mQbg","mvzqoLZQap","GK",99,"Sweeping",0.0244,0.0241,2,2013-03-10
"Oa5wKVW514","19vQ2095K6","GK",98,"Claiming",0.0022,0.0043,2,2013-03-10
"Oa5wKVW514","19vQ2095K6","GK",98,"Fielding",0.0069,0.0132,13,2013-03-10
"Oa5wKVW514","19vQ2095K6","GK",98,"Handling",-0.0111,-0.009,4,2013-03-10
"Oa5wKVW514","19vQ2095K6","GK",98,"Passing",0.0617,-0.003,38,2013-03-10
"Oa5wKVW514","19vQ2095K6","GK",98,"Shotstopping",1.2478,1.3009,4,2013-03-10
"Oa5wKVW514","19vQ2095K6","GK",98,"Sweeping",0.0302,0.0298,4,2013-03-10
"raMy7oNqd2","WBLMvYAQxe","GK",97,"Claiming",0,0.0021,0,2013-03-10
"raMy7oNqd2","WBLMvYAQxe","GK",97,"Fielding",1e-04,0.0063,5,2013-03-10
"raMy7oNqd2","WBLMvYAQxe","GK",97,"Handling",-0.0092,-0.007,3,2013-03-10
"raMy7oNqd2","WBLMvYAQxe","GK",97,"Passing",0.0664,0.0017,22,2013-03-10
"raMy7oNqd2","WBLMvYAQxe","GK",97,"Shotstopping",-0.3389,-0.3157,5,2013-03-10
"raMy7oNqd2","WBLMvYAQxe","GK",97,"Sweeping",-0.0683,-0.0701,1,2013-03-10
"vzqoOapqap","a2lqR4JMr0","GK",97,"Claiming",0.025,0.0274,1,2013-03-10
"vzqoOapqap","a2lqR4JMr0","GK",97,"Fielding",-0.0062,-2e-04,10,2013-03-10
"vzqoOapqap","a2lqR4JMr0","GK",97,"Handling",-0.0466,-0.0448,5,2013-03-10
"vzqoOapqap","a2lqR4JMr0","GK",97,"Passing",0.072,0.0073,32,2013-03-10
"vzqoOapqap","a2lqR4JMr0","GK",97,"Shotstopping",0.7583,0.7929,6,2013-03-10
"vzqoOapqap","a2lqR4JMr0","GK",97,"Sweeping",0.0128,0.0119,2,2013-03-10
"xW5pxy3l5g","9z5k7Yg5A3","GK",98,"Claiming",0.0469,0.05,4,2013-03-10
"xW5pxy3l5g","9z5k7Yg5A3","GK",98,"Fielding",0.0012,0.0074,2,2013-03-10
"xW5pxy3l5g","9z5k7Yg5A3","GK",98,"Handling",0.0144,0.017,1,2013-03-10
"xW5pxy3l5g","9z5k7Yg5A3","GK",98,"Passing",0.0695,0.0049,29,2013-03-10
"xW5pxy3l5g","9z5k7Yg5A3","GK",98,"Shotstopping",-0.1662,-0.1426,2,2013-03-10
"xW5pxy3l5g","9z5k7Yg5A3","GK",98,"Sweeping",-0.0032,-0.0043,1,2013-03-10
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Claiming",0.0065,0.0087,3,2013-03-11
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Fielding",0.003,0.0093,8,2013-03-11
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Handling",0,0.0023,0,2013-03-11
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Passing",0.0583,-0.0065,29,2013-03-11
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Shotstopping",-0.2285,-0.2063,2,2013-03-11
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Sweeping",0.0171,0.0164,2,2013-03-11
"wvq9j2YQWn","0KPqjA456v","GK",98,"Claiming",0.0079,0.0102,1,2013-03-11
"wvq9j2YQWn","0KPqjA456v","GK",98,"Fielding",-0.002,0.0041,12,2013-03-11
"wvq9j2YQWn","0KPqjA456v","GK",98,"Handling",0.0118,0.0143,1,2013-03-11
"wvq9j2YQWn","0KPqjA456v","GK",98,"Passing",0.0575,-0.0073,27,2013-03-11
