"Date","team_id","team_abbr","Dribbling_Field","Fouling_Field","Interrupting_Field","Passing_Field","Receiving_Field","Shooting_Field","Claiming_GK","Fielding_GK","Handling_GK","Passing_GK","Shotstopping_GK","Sweeping_GK","offensive_gplus","team_xgoals","opposition_team_id","opposition_team_abbr"
2013-04-06,"Z2vQ1xlqrA","SKC",-0.1542,-0.0023,-0.5655,0.0292,-0.0685,-0.0926,0.0021,0.0067,0.0159,0.0398,0.05,-0.0226,-0.2463,0.9728,"EKXMeX3Q64","DCU"
2013-04-07,"0KPqjA456v","SJE",-0.0227,-0.0047,-0.417,0.0146,-0.4787,0.0656,0.0028,0.0064,0.0214,0.008,-0.1127,-0.0011,-0.4132,1.8679,"lgpMOvnQzy","VAN"
2013-04-07,"a2lqRX2Mr0","NYRB",-0.2575,-0.1726,-0.1288,0.0354,-0.1173,-0.1248,0.3826,0.0625,-0.0189,-0.0274,-0.4793,-0.0079,-0.4916,0.9722,"X0Oq66zq6D","CHI"
2013-04-07,"lgpMOvnQzy","VAN",-0.2386,-0.0217,-0.2223,-0.1734,-0.265,-0.18,0.0757,0.0058,0.0967,0.0452,0.0361,-0.0032,-0.8118,0.8117,"0KPqjA456v","SJE"
2013-04-07,"WBLMvYAQxe","POR",0.1892,0.0583,-0.0791,0.025,0.0101,-0.049,0.0085,0.0102,0.0485,-0.0101,0.1051,-0.0033,0.1652,1.3859,"YgOMngl5wN","HOU"
2013-04-07,"X0Oq66zq6D","CHI",-0.0013,0.2128,0.4556,0.027,0.0702,-0.1014,6e-04,0.0102,0.0421,0.0133,0.2271,0.0141,0.00780000000000002,2.7001,"a2lqRX2Mr0","NYRB"
2013-04-07,"YgOMngl5wN","HOU",-0.1538,-0.0527,-0.3753,-0.1317,-0.2101,-0.2388,0.0064,0.0028,0.0482,0.0022,-0.1207,-0.0011,-0.7322,0.3789,"WBLMvYAQxe","POR"
2013-04-13,"19vQ2095K6","NER",-0.6574,0.0242,-0.1789,-0.0466,-0.3294,-0.3179,0.0649,0.0062,0.0436,0.0158,0.662,-0.0085,-1.3355,0.4981,"jYQJ19EqGR","SEA"
2013-04-13,"9z5k7Yg5A3","PHI",-0.00910000000000001,0.028,-0.3734,0.1571,-0.197,0.0722,0.0029,0.0084,0.0184,0.0219,-0.4767,-0.0018,0.0451,2.0827,"kRQabn8MKZ","TOR"
2013-04-13,"a2lqR4JMr0","RSL",-0.2053,-0.3153,0.0847,-0.2894,-0.4109,-0.2606,0.0106,0.008,-0.2964,0.0195,1.2994,0.058,-1.1467,0.1955,"lgpMOvnQzy","VAN"
2013-04-13,"a2lqRX2Mr0","NYRB",-0.0892,-0.0691,0.1685,-0.0443,-0.1251,0.0194,0.0219,0.0121,0.0119,0.0072,1.0674,0.0011,-0.232,1.0052,"EKXMeX3Q64","DCU"
2013-04-13,"EKXMeX3Q64","DCU",-0.0856,0.0418,-0.3863,0.1765,-0.3292,-0.1432,0.0027,0.0137,0.024,0.0294,-0.9504,0.0014,-0.3521,1.2432,"a2lqRX2Mr0","NYRB"
2013-04-13,"jYQJ19EqGR","SEA",-0.1075,-0.0608,0.2335,-0.1979,-0.0832,-0.1077,0.0375,0.004,0.0023,-0.0132,0.0267,-0.0249,-0.5095,1.4247,"19vQ2095K6","NER"
2013-04-13,"kaDQ0wRqEv","LAG",-0.3396,-0.1048,0.0194,-0.0335,-0.3355,-0.2072,0.043,0.0057,-0.0451,-0.0138,0.5707,-0.0011,-0.9296,1.0613,"mKAqBBmqbg","FCD"
2013-04-13,"kRQabn8MKZ","TOR",-0.3719,-0.0813,-0.4589,-0.1199,-0.4491,-0.2738,0.0287,0.0066,0.0354,0.1162,1.8339,0.0363,-1.0985,1.0799,"9z5k7Yg5A3","PHI"
2013-04-13,"lgpMOvnQzy","VAN",-0.00680000000000002,0.0899,0.1187,0.103,-0.0529,-0.0362,0.0057,0.015,0.0212,-0.0227,-0.2503,0.0205,-0.0156,2.5364,"a2lqR4JMr0","RSL"
2013-04-13,"mKAqBBmqbg","FCD",-0.0513,0.0228,0.0971,-0.1202,-0.2795,-0.1337,0.0154,0.0087,-0.0077,0.0724,1.3188,-0.0023,-0.5123,1.6326,"kaDQ0wRqEv","LAG"
2013-04-14,"4wM42l4qjB","CHV",0.1433,-0.00969999999999998,-0.3164,-0.1305,-0.1974,-0.1534,0.0036,0.0164,0.0202,0.0602,0.7679,-0.0633,-0.2778,1.6102,"pzeQZ6xQKw","COL"
2013-04-14,"APk5LGOMOW","MTL",0.1273,0.0312,-0.6652,-0.1869,-0.2798,-0.0029,-0.0701,0.0136,-0.0156,0.0199,1.0181,-0.013,-0.3224,0.9967,"mvzqoLZQap","CLB"
2013-04-14,"mvzqoLZQap","CLB",0.0815,-0.0419,-0.1115,0.1255,-0.1771,-0.0418,0.0043,0.0107,0.0496,0.0052,0.1544,0.0263,-0.00669999999999999,1.5108,"APk5LGOMOW","MTL"
2013-04-14,"pzeQZ6xQKw","COL",0.0742,-0.0188,-0.2205,-0.0351,-0.2171,-0.0369,-0.0122,0.0103,0.0182,-0.0083,0.3593,-0.0011,-0.2232,1.7678,"4wM42l4qjB","CHV"
2013-04-14,"X0Oq66zq6D","CHI",0.0202,0.0901,-0.2828,0.1719,-0.4006,-0.0524,0.024,0.0093,-0.0102,0.0073,0.0899,0.0189,-0.2536,0.9976,"YgOMngl5wN","HOU"
2013-04-14,"YgOMngl5wN","HOU",-0.0657,-0.1352,-0.0227,0.3022,0.2699,-0.1377,0.0166,0.0114,0.0275,0.017,0.1512,-0.0211,0.3857,1.7324,"X0Oq66zq6D","CHI"
2013-04-15,"0KPqjA456v","SJE",-0.00760000000000001,-0.0202052977,-0.0528,-0.2136,-0.3377,-0.2067,0.0128,0.0095,0.0263,0.0029,-0.6291,0.0037,-0.7627,0.3737,"WBLMvYAQxe","POR"
2013-04-15,"WBLMvYAQxe","POR",-0.1071,0.0053,-0.2307,-0.1456,-0.0244,-0.1735,0.0025,0.0056,0.0418,0.0272,0.18,0.005,-0.4234,0.4775,"0KPqjA456v","SJE"
2013-04-17,"a2lqRX2Mr0","NYRB",0.3843,0.0309,-0.1489,-0.1203,-0.3186,-0.0749,0.0022,0.003,0.0051,-0.0182,0.2359,0.0268,-0.1477,1.1887,"Z2vQ1xlqrA","SKC"
